Q d d d d d d d d d d d d d d d d d d E
r s m m m m m m v1 v2 v3 v4 m m m m m m s l 
r s m t t t t t e1 e2 e3 e4 t t t t t m s l
r s m t t t t t x1 x2 x3 x4 t t t t t m s l   
r m m t t m m m m m m m m m m t t m m l
r m m y1 y2 m m m m m m m m m m y1 y2 m m l
r m m n1 n2 m m m m m m m m m m n1 n2 m m l 
r m m j1 j2 m m m m m m m m m m j1 j2 m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
b b p1 p p p2 b b b b b b b b p1 p p p2 b b
a a p1 p p p2 a a a a a a a a p1 p p p2 a a
r m m t t m m m m m m m m m m t t m m l 
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l   
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l 
r m m t t m m m m m m m m m m t t m m l
r m m t t m m m m m m m m m m t t m m l
r m m y1 y2 m m m m m m m m m m y1 y2 m m l
r m m n1 n2 m m m m m m m m m m n1 n2 m m l
r m m j1 j2 m m m m m m m m m m j1 j2 m m l
r m m t t m m m m m m m m m m t t m m l 
r s m t t t t t v1 v2 v3 v4 t t t t t m s l
r s m t t t t t e1 e2 e3 e4 t t t t t m s l
r s m m m m m m x1 x2 x3 x4 m m m m m m s l
Z u u u u u u u u u u u u u u u u u u C
